Rank,start_station,end_station,line_y,line_x,climate_pass,avg_cum_passenger
219,개포동,구룡,수인분당선,수인분당선,O,73694.33333333333
220,서울역,숙대입구,04호선,04호선,O,73411.54545454546
221,인덕원,평촌,04호선,04호선,X,73253.13636363637
222,수색,한국항공대,경의선,경의선,O,72990.75
223,김포공항,능곡,서해선,서해선,O,72953.38888888889
224,영등포구청,영등포시장,05호선,05호선,O,72909.95454545454
225,답십리,장한평,05호선,05호선,O,72827.77272727272
226,국회의사당,당산,09호선,09호선,O,72802.09090909091
227,공릉,태릉입구,07호선,07호선,O,72786.31818181818
228,구룡,도곡,수인분당선,수인분당선,O,71735.88235294117
229,강매,한국항공대,경의선,경의선,O,71499.25
230,개포동,대모산입구,수인분당선,수인분당선,O,71071.0
231,망우,상봉,경의선,경의선,O,70848.6
232,고덕,명일,05호선,05호선,O,70765.0
233,대모산입구,수서,수인분당선,수인분당선,O,70672.6
234,당산,선유도,09호선,09호선,O,70278.04545454546
235,동대문,동묘앞,01호선,01호선,O,69686.77272727272
236,광화문,서대문,05호선,05호선,O,69626.18181818182
237,도봉,방학,01호선,01호선,O,69586.86363636363
238,고속터미널,사평,09호선,09호선,O,69577.90909090909
239,상도,장승배기,07호선,07호선,O,69453.72727272728
240,발산,우장산,05호선,05호선,O,69450.22727272728
241,능곡,대곡,경의선,서해선,O,69368.66666666667
242,우장산,화곡,05호선,05호선,O,69308.36363636363
243,강매,행신,경의선,경의선,O,69020.5
244,명학,안양,01-1호선,01-1호선,X,68973.04545454546
245,사평,신논현,09호선,09호선,O,68860.59090909091
246,공덕,애오개,05호선,05호선,O,68231.63636363637
247,강남,신논현,신분당선,신분당선,X,68146.4705882353
248,선릉,한티,수인분당선,수인분당선,O,68061.9375
249,암사,암사역사공원,08호선,08호선,O,67985.0
250,미금,정자,수인분당선,수인분당선,X,67947.86363636363
251,삼성중앙,선정릉,09호선,09호선,O,67437.40909090909
252,삼각지,숙대입구,04호선,04호선,O,67317.63636363637
253,신대방삼거리,장승배기,07호선,07호선,O,67278.18181818182
254,애오개,충정로,05호선,05호선,O,67195.63636363637
255,가락시장,문정,08호선,08호선,O,66621.06666666667
256,부천종합운동장,춘의,07호선,07호선,X,66391.16666666667
257,도봉,도봉산,01호선,01호선,O,66316.86363636363
258,보라매,신풍,07호선,07호선,O,66113.9
259,계양,귤현,인천1호선,인천1호선,X,66001.5
260,마곡,발산,05호선,05호선,O,65958.5
261,귤현,박촌,인천1호선,인천1호선,X,65853.5
262,보라매,신대방삼거리,07호선,07호선,O,65668.72727272728
263,선정릉,언주,09호선,09호선,O,65413.71428571428
264,금정,명학,01-1호선,01-1호선,X,65370.68181818182
265,상봉,중화,07호선,07호선,O,65193.81818181818
266,범계,평촌,04호선,04호선,X,65127.90909090909
267,박촌,임학,인천1호선,인천1호선,X,64923.5
268,국회의사당,여의도,09호선,09호선,O,64494.54545454546
269,시청,충정로,02호선,02호선,O,64409.25
270,신논현,언주,09호선,09호선,O,64312.19047619047
271,공릉,하계,07호선,07호선,O,64280.54545454546
272,능곡,행신,경의선,경의선,O,63745.75
273,마곡,송정,05호선,05호선,O,63654.22727272727
274,논현,신논현,신분당선,신분당선,X,63606.47058823529
