학교ID,개방ID,시도명,시도교육청명,학교명,설립일자,소재지지번주소,소재지도로명주소,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2009_해당지역예측학생수,2010_해당지역예측학생수,2011_해당지역예측학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수
B000002914,6404171586,대구,대구광역시교육청,대구용전초등학교,1999-02-08,대구광역시 달서구 용산동 913,대구광역시 달서구 용산로 260,35.86109075,128.5312139,대구광역시 달서구,1143.0,1043.0,979.0,888.0,763.0,718.0,665.0,650.0,575.0,525.0,502.0,461.0,439.0,405.0,350.0,44892,44099,42094,38928,35116,33068,31636,30310,30041,30532,31323,31193,31298,31371,30471,28844,26422,24252,21600,18782,16290,14587,0.925433082218439,435.8976002719146,332.6797559709621,240.20134055681388,127.18163655758747,7.087546863085322,-99.11347212864621,-171.68985067716903
B000002818,6454925954,대구,대구광역시교육청,대구서평초등학교,1984-06-18,대구광역시 서구 평리동 574-6,대구광역시 서구 서대구로45길 60,35.878252,128.5479041,대구광역시 서구,624.0,540.0,458.0,376.0,320.0,263.0,224.0,202.0,158.0,150.0,126.0,106.0,91.0,95.0,92.0,20367,18057,16254,14459,12760,11522,10590,9578,8856,8674,8615,8377,8219,8181,7996,7412,6514,5665,4809,3954,3189,2690,0.9963241541197185,79.55524842650243,41.018912451043605,4.585338683599787,-32.14862968498903,-68.83968453912857,-101.66852309283234,-123.08236680302606
B000002798,6477667868,대구,대구광역시교육청,대구지봉초등학교,1992-05-04,대구광역시 수성구 지산동 1296,대구광역시 수성구 지범로31길 45,35.825447,128.6408048,대구광역시 수성구,859.0,758.0,695.0,574.0,506.0,460.0,414.0,383.0,347.0,323.0,291.0,276.0,242.0,226.0,218.0,28894,26549,24339,22334,20211,19070,18595,17990,17676,17676,17840,17235,16930,16681,16284,15384,14109,13043,11604,10391,9404,8593,0.9808358494953946,207.42122730945061,142.09538004386434,87.47784813397027,13.749303651477248,-48.39991417844908,-98.96980535580877,-140.52216781258556
B000002890,6622248589,대구,대구광역시교육청,대구월성초등학교,1992-09-01,대구광역시 달서구 월성동 280,대구광역시 달서구 학산로7길 26,35.83108781,128.5318978,대구광역시 달서구,451.0,406.0,351.0,307.0,254.0,262.0,229.0,236.0,225.0,225.0,241.0,204.0,213.0,200.0,190.0,44892,44099,42094,38928,35116,33068,31636,30310,30041,30532,31323,31193,31298,31371,30471,28844,26422,24252,21600,18782,16290,14587,0.963205909552852,187.32530954846362,153.0657111144958,122.37069517654771,84.85770795653013,44.99662274310265,9.746862504684884,-14.342359680718573
B000002751,6635864555,대구,대구광역시교육청,대구방촌초등학교,1985-03-01,대구광역시 동구 방촌동 1072-6,대구광역시 동구 동촌로42길 35-14,35.880646,128.6630356,대구광역시 동구,837.0,780.0,704.0,665.0,583.0,553.0,515.0,484.0,454.0,395.0,368.0,350.0,338.0,362.0,349.0,25018,23259,22200,20868,19347,18784,18438,17906,17687,17703,17983,17729,17909,18334,18112,17482,16478,15576,14181,12729,11517,10548,0.9287249247068936,386.907226575139,320.0801818621428,260.0423389028572,167.19002080063626,70.54373701251814,-10.127954413927569,-74.62537107418007
B000002833,6794020473,대구,대구광역시교육청,대구문성초등학교,1952-09-17,대구광역시 북구 복현동 29-2,대구광역시 북구 복현로 180,35.90581213,128.6203559,대구광역시 북구,1344.0,1230.0,1097.0,1009.0,890.0,810.0,781.0,722.0,698.0,660.0,638.0,585.0,550.0,528.0,477.0,33230,32123,32025,31562,30560,30617,30543,29363,28161,27505,26997,25552,24745,24485,23779,22506,20900,19540,17918,16029,14416,13043,0.9205177564949243,313.13984038271246,187.58622191126392,81.26435321813187,-45.54011076735355,-193.21805926832894,-319.31892265216857,-426.65710332545564
B000002827,6997007906,대구,대구광역시교육청,대구강북초등학교,2001-05-06,대구광역시 북구 구암동 785-1,대구광역시 북구 구암서로 50,35.94086182,128.5667658,대구광역시 북구,1697.0,1612.0,1522.0,1390.0,1290.0,1233.0,1198.0,1097.0,1049.0,1016.0,970.0,903.0,876.0,840.0,783.0,33230,32123,32025,31562,30560,30617,30543,29363,28161,27505,26997,25552,24745,24485,23779,22506,20900,19540,17918,16029,14416,13043,0.953874248430461,611.0918437609341,468.601122471558,347.9365017034688,204.02619664035046,36.426587352908655,-106.68520183747955,-228.50323442173453
B000002884,7063198924,대구,대구광역시교육청,대구월촌초등학교,1992-06-30,대구광역시 달서구 상인동 1519,대구광역시 달서구 상인서로 60,35.81635707,128.5432703,대구광역시 달서구,1184.0,1125.0,1059.0,966.0,877.0,830.0,777.0,722.0,630.0,572.0,533.0,496.0,494.0,473.0,450.0,44892,44099,42094,38928,35116,33068,31636,30310,30041,30532,31323,31193,31298,31371,30471,28844,26422,24252,21600,18782,16290,14587,0.9095068639183689,506.67095363312103,402.86289440017106,309.85567370012916,196.18970628238196,75.40890078343352,-31.399391375324285,-104.39077241319137
B000002908,7253913104,대구,대구광역시교육청,대구성지초등학교,1997-02-17,대구광역시 달서구 용산동 412-4,대구광역시 달서구 새동네로 27,35.85329006,128.5187152,대구광역시 달서구,1079.0,913.0,809.0,662.0,572.0,542.0,525.0,486.0,469.0,452.0,457.0,442.0,409.0,403.0,374.0,44892,44099,42094,38928,35116,33068,31636,30310,30041,30532,31323,31193,31298,31371,30471,28844,26422,24252,21600,18782,16290,14587,0.9629347491154491,364.8209531336996,274.5026860674167,193.58169534329022,94.68654907583243,-10.398866528125268,-103.32748813389628,-166.83368500172458
B000002917,7440482199,대구,대구광역시교육청,대구이곡초등학교,1997-11-01,대구광역시 달서구 이곡동 1304-4,대구광역시 달서구 선원남로 120,35.85684549,128.5137308,대구광역시 달서구,1148.0,1028.0,973.0,865.0,764.0,730.0,701.0,650.0,622.0,596.0,566.0,502.0,452.0,430.0,380.0,44892,44099,42094,38928,35116,33068,31636,30310,30041,30532,31323,31193,31298,31371,30471,28844,26422,24252,21600,18782,16290,14587,0.9144860417680554,475.67689632552106,381.0140958131235,296.2006040245593,192.54835507374264,82.40806942389293,-14.990650178458282,-81.55165318118861
B000002753,7537955284,대구,대구광역시교육청,대구불로초등학교,1984-04-06,대구광역시 동구 불로동 1017,대구광역시 동구 방천로3길 19,35.89748035,128.633502,대구광역시 동구,792.0,716.0,620.0,553.0,483.0,438.0,384.0,363.0,351.0,331.0,345.0,321.0,306.0,312.0,303.0,25018,23259,22200,20868,19347,18784,18438,17906,17687,17703,17983,17729,17909,18334,18112,17482,16478,15576,14181,12729,11517,10548,0.9811458757417513,311.524733310579,244.29198926325284,183.88966343587413,90.47364954541604,-6.759362762071532,-87.92080278732976,-152.8097758768307
B000002889,7571801543,대구,대구광역시교육청,대구학산초등학교,1990-12-05,대구광역시 달서구 월성동 82-1,대구광역시 달서구 월성로 76,35.83110936,128.5260827,대구광역시 달서구,458.0,420.0,375.0,350.0,292.0,252.0,206.0,192.0,174.0,151.0,135.0,133.0,125.0,127.0,352.0,44892,44099,42094,38928,35116,33068,31636,30310,30041,30532,31323,31193,31298,31371,30471,28844,26422,24252,21600,18782,16290,14587,0.8579025477518675,145.3293658057113,100.13503117891327,59.64299726473013,10.156880241497959,-42.426784076551826,-88.92731334574279,-120.70516300281832
