,Ticker,Name,종목명 (Full),기업명 (한글),거래소 업종,거래소 업종코드,결산월,회계년,자기자본비율(%),차입금의존도(%),매출액증가율(%),영업이익률(%),총자본회전율(%),부채 상환능력(%),당좌비율(%),ROA(당기순이익)(%),"신용등급 (채권, NICE)","신용등급 (CP, NICE)",ESG등급,환경,사회,지배구조,시가총액(천원),WACC(시가총액평균)(%)
996,A017960,한국카본,한국카본보통주,(주)한국카본,코스피 금속,I.011,12,2020,82.04,3.36,49.93736635611001,18.38,112.99999999999999,79.5747795907954,248.5862438951732,13.12,,,B,B,B+,B,591272000.0,9.43
997,A017960,한국카본,한국카본보통주,(주)한국카본,코스피 금속,I.011,12,2021,82.12,3.57,-11.773775895217753,8.87,90.0,32.98064453324412,207.04338965969094,3.05,,,C,B+,A,D,472578000.0,7.53
998,A017960,한국카본,한국카본보통주,(주)한국카본,코스피 금속,I.011,12,2022,69.9,9.63,-5.8398110037324535,8.44,84.0,1.0677207833412299,89.61146412870032,0.41,,,B,B+,B+,C,485766000.0,8.89
999,A017960,한국카본,한국카본보통주,(주)한국카본,코스피 금속,I.011,12,2023,59.4,16.29,68.42994931889335,4.38,132.0,18.07490836442707,72.63293243568856,-0.28,,,C,B+,B+,D,604214000.0,5.76
1480,A018250,애경산업,애경산업보통주,애경산업(주),코스피 화학,I.008,12,2020,76.83,3.22,-16.385273801927646,3.87,175.0,17.721451291932393,192.6104762899884,2.67,,,A,B+,A+,B+,647043000.0,6.8
1481,A018250,애경산업,애경산업보통주,애경산업(주),코스피 화학,I.008,12,2021,80.47,0.71,-2.6130621212027916,4.31,168.0,55.03022520610503,243.80077746844498,3.54,,,A,B+,A+,B+,501789000.0,6.45
1482,A018250,애경산업,애경산업보통주,애경산업(주),코스피 화학,I.008,12,2022,75.45,5.16,3.747133128993463,6.37,168.0,27.769934677302793,171.5331968434793,3.65,,,A,A,A+,A,551968000.0,9.78
1483,A018250,애경산업,애경산업보통주,애경산업(주),코스피 화학,I.008,12,2023,81.14,0.24,9.55583378495042,9.67,173.0,51.05277663297541,218.4308435479875,9.77,,,A,A,A+,A,491753000.0,4.58
172,A018260,삼성에스디에스,삼성에스디에스보통주,삼성에스디에스(주),코스피 IT 서비스,I.574,12,2020,84.74,2.4,-10.728304806206413,12.8,83.0,67.79698863494824,499.2270592451552,4.07,AA+,,A,A,A+,A,13811937000.0,6.07
173,A018260,삼성에스디에스,삼성에스디에스보통주,삼성에스디에스(주),코스피 IT 서비스,I.574,12,2021,81.95,2.91,9.58990253267653,8.16,90.0,43.915527725740034,426.13390811057997,4.9,AA+,A1,A,A,A+,A,12109626000.0,9.08
174,A018260,삼성에스디에스,삼성에스디에스보통주,삼성에스디에스(주),코스피 IT 서비스,I.574,12,2022,78.84,5.79,3.7876515473356243,5.72,89.0,33.218988424696654,382.8209849282068,7.32,,A1,A,A,A+,B+,9517469000.0,9.32
175,A018260,삼성에스디에스,삼성에스디에스보통주,삼성에스디에스(주),코스피 IT 서비스,I.574,12,2023,80.0,5.38,-0.14909806379572732,6.8,85.0,48.268471805227705,365.9542207381787,5.36,,A1,A,B+,A+,A,13154226000.0,6.75
1968,A018470,조일알미늄,조일알미늄보통주,조일알미늄(주),코스피 금속,I.011,12,2020,40.7,50.81,6.782770894850554,-1.21,295.0,1.0949428295134633,64.39639151343445,-3.13,,,B,B,C,B+,43496000.0,4.11
1969,A018470,조일알미늄,조일알미늄보통주,조일알미늄(주),코스피 금속,I.011,12,2021,47.96,41.45,40.25645535353431,3.91,335.0,-15.49320515151991,77.28365442231434,5.03,,,C,C,C,B,242811000.0,4.62
1970,A018470,조일알미늄,조일알미늄보통주,조일알미늄(주),코스피 금속,I.011,12,2022,50.84,38.27,20.44252204896464,2.82,318.0,3.2044704288289005,66.81434740813957,4.98,,,C,C,C,B,298218000.0,8.09
1971,A018470,조일알미늄,조일알미늄보통주,조일알미늄(주),코스피 금속,I.011,12,2023,48.96,43.19,-17.177090265358164,1.82,246.0,-1.8792437289154313,85.9912589719334,-0.04,,,C,C,D,B,264027000.0,8.66
2796,A018500,동원금속,동원금속보통주,동원금속(주),코스피 운송장비·부품,I.015,3,2020,8.41,38.44,-20.77746511512816,-1.19,628.0,5.9453066368288985,19.90719416816565,-4.83,B+,,C,D,C,B+,55638000.0,6.69
2797,A018500,동원금속,동원금속보통주,동원금속(주),코스피 운송장비·부품,I.015,3,2021,17.43,34.07,-7.274834106175431,4.22,564.0,7.662869261070358,22.36170817097954,5.3,B+,,D,D,D,C,41939000.0,7.02
