,Ticker,È¸°è³â,½Ã°¡ÃÑ¾×(¹é¸¸¿ø),WACC(½Ã°¡ÃÑ¾×Æò±Õ)(%)
796,A047050,2014,3581409,4.12
797,A047050,2015,1861877,4.42
798,A047050,2016,3074660,6.39
799,A047050,2017,2239259,4.27
800,A047050,2018,2245428,5.12
801,A047050,2019,2300947,4.52
802,A047050,2020,1795108,4.87
803,A047050,2021,2769772,4.52
804,A047050,2022,2788278,5.6
805,A047050,2023,10977582,10.08
806,A047050,2024,6975339,
807,A047050,2025,7283203,
808,A090430,2012,7498586,4.64
809,A090430,2013,6290334,6.85
810,A090430,2014,14116975,5.34
811,A090430,2015,26659345,10.36
812,A090430,2016,20964039,7.13
813,A090430,2017,19553210,6.62
814,A090430,2018,13329232,10.47
815,A090430,2019,12635568,7.81
816,A090430,2020,12697034,6.18
817,A090430,2021,10541124,7.16
818,A090430,2022,8552697,10.37
819,A090430,2023,8867867,7.73
820,A090430,2024,6468947,
821,A090430,2025,7667752,
822,A010950,2012,11947512,7.88
823,A010950,2013,8543083,6.2
824,A010950,2014,5574893,5.09
825,A010950,2015,9125893,8.34
826,A010950,2016,9760990,5.83
827,A010950,2017,13570358,6.16
828,A010950,2018,11282483,4.55
829,A010950,2019,10947933,5.2
830,A010950,2020,7945774,5.31
831,A010950,2021,9868747,4.99
832,A010950,2022,9606187,5.92
833,A010950,2023,8033842,5.77
834,A010950,2024,6322772,
835,A010950,2025,7066023,
836,A267250,2012,,
837,A267250,2013,,
838,A267250,2014,,
839,A267250,2015,,
840,A267250,2016,,
841,A267250,2017,6205201,5.48
842,A267250,2018,5635169,7.54
843,A267250,2019,5504877,5.22
844,A267250,2020,4478908,6.87
845,A267250,2021,4241929,5.35
846,A267250,2022,4510505,6.84
847,A267250,2023,5000262,6.08
848,A267250,2024,6256252,
849,A267250,2025,6580124,
850,A011790,2012,1524654,6.49
851,A011790,2013,1106370,7.43
852,A011790,2014,966844,6.05
853,A011790,2015,1243744,5.44
854,A011790,2016,1238640,6.19
855,A011790,2017,1764124,6.56
856,A011790,2018,1343737,6.41
857,A011790,2019,1914262,4.77
858,A011790,2020,3559620,8.01
859,A011790,2021,6608018,6.45
860,A011790,2022,3351344,10.82
861,A011790,2023,3430868,0.83
862,A011790,2024,3979958,
863,A011790,2025,6142238,
864,A005830,2012,3228480,
865,A005830,2013,3978960,
866,A005830,2014,3894000,
867,A005830,2015,4977240,
868,A005830,2016,4425000,
869,A005830,2017,5040960,
870,A005830,2018,4984320,
871,A005830,2019,3702840,
872,A005830,2020,3097500,
873,A005830,2021,3823200,
874,A005830,2022,4623240,
875,A005830,2023,5925960,
876,A005830,2024,7278240,
877,A005830,2025,6499440,
878,A010120,2012,2013000,7.92
879,A010120,2013,1971000,8.13
880,A010120,2014,1794000,5.52
881,A010120,2015,1380000,6.9
882,A010120,2016,1192500,7.2
883,A010120,2017,1953000,4.25
884,A010120,2018,1470000,8.13
885,A010120,2019,1638000,6.52
886,A010120,2020,1893000,6.35
887,A010120,2021,1674000,5.87
888,A010120,2022,1692000,6.76
889,A010120,2023,2196000,7.85
890,A010120,2024,4824000,
891,A010120,2025,6960000,
