조사년도,학교명,시도명,지역명,학제유형명,고등교육학교_입학생수,6학년재적학생수,5학년재적학생수,4학년재적학생수,3학년재적학생수,2학년재적학생수,1학년재적학생수
2009,한양대학교,경기,경기 안산시,대학,2090,0,47,3858,3623,3872,2314
2009,한양대학교,서울,서울 성동구,대학,3315,0,101,6998,6245,5844,3739
2009,부경대학교,부산,부산 남구,대학,3825,0,73,6739,5412,8556,4561
2009,수원대학교,경기,경기 화성시,대학,2938,0,0,3540,3817,5023,3475
2009,한경대학교,경기,경기 안성시,산업대학,1467,0,19,2036,2405,2607,2340
2009,충남대학교,대전,대전 유성구,대학,4002,0,45,6817,6191,8241,4733
2009,한국외국어대학교,경기,경기 용인시,대학,1924,0,0,3245,2903,3214,2238
2009,한국외국어대학교,서울,서울 동대문구,대학,1979,0,0,3628,3195,2988,2250
2009,대구가톨릭대학교,경북,경북 경산시,대학,3048,0,11,4255,3958,5737,3704
2009,대구가톨릭대학교,대구,대구 남구,대학,0,0,0,46,54,39,49
2009,대구가톨릭대학교,대구,대구 중구,대학,36,0,0,75,21,27,36
2009,부산가톨릭대학교,부산,부산 금정구,대학,1028,0,0,1117,1166,1758,1212
2009,인제대학교,경남,경남 김해시,대학,2477,0,30,3094,2775,4669,2888
2009,인제대학교,부산,부산 부산진구,대학,88,0,0,262,261,198,196
2009,한국국제대학교,경남,경남 진주시,대학,923,0,0,747,899,1246,1725
2009,한성대학교,서울,서울 성북구,대학,1830,0,0,2473,2522,3216,2044
2009,동국대학교,경북,경북 경주시,대학,2104,0,0,2976,3059,3842,3210
2009,동국대학교,서울,서울 중구,대학,3116,0,0,5199,4804,5316,4231
2009,서울과학기술대학교,서울,서울 노원구,산업대학,2123,0,39,5098,4759,4043,3926
2009,상지대학교,강원,강원 원주시,대학,2244,0,0,2393,2779,4075,2855
2009,한국정보통신대학교,대전,대전 유성구,대학,0,0,0,0,0,0,0
2009,차의과학대학교,경기,경기 포천시,대학,111,0,0,159,173,130,113
2009,중부대학교,충남,충남 금산군,대학,2231,0,0,1852,2122,3597,3524
2009,금강대학교,충남,충남 논산시,대학,97,0,0,89,109,145,105
2009,성신여자대학교,서울,서울 성북구,대학,2491,0,0,3558,3028,2590,2470
2009,침례신학대학교,대전,대전 유성구,대학,410,0,0,424,503,548,444
2009,순천대학교,전남,전남 순천시,대학,1973,0,46,2591,2434,3985,2417
2009,대구외국어대학교,경북,경북 경산시,대학,127,0,0,66,85,187,153
2009,가천의과학대학교,인천,인천 강화군,대학,900,0,0,884,1280,1405,996
2009,가톨릭꽃동네대학교,충북,충북 청원군,대학,124,0,0,169,147,180,140
2010,광주여자대학교,광주,광주 광산구,대학,1110,0,0,979,1086,1110,1166
2010,호원대학교,전북,전북 군산시,산업대학,1483,0,0,1677,1750,2447,1863
2010,우송대학교,대전,대전 동구,산업대학,0,0,0,2569,2122,1511,372
2010,삼육대학교,서울,서울 노원구,대학,1407,0,8,1614,1692,1916,1870
2010,선교청대학교,충남,충남 천안시,대학,80,0,0,28,51,65,104
2010,광주대학교(산업대),광주,광주 남구,산업대학,0,0,0,494,109,55,5
2010,연세대학교,강원,강원 원주시,대학,1683,0,0,3216,3079,2769,2047
2010,연세대학교,서울,서울 서대문구,대학,3916,0,75,8192,7732,6062,4494
2010,전남대학교,광주,광주 북구,대학,3773,0,42,7430,6106,7542,4509
2010,전남대학교,전남,전남 여수시,대학,942,0,17,1169,1234,2241,1236
2010,대구대학교,경북,경북 경산시,대학,4903,0,0,6141,6093,10477,6220
2010,대구대학교,대구,대구 남구,대학,30,0,0,41,32,0,30
2010,아세아연합신학대학교,경기,경기 양평군,대학,201,0,0,265,271,241,330
2010,전북대학교,전북,전북 익산시,대학,219,0,0,0,106,300,238
