,학교_식별자,시군구별,매칭된 행정구역,인구 수,2023,회귀계수,학생 비
568,대전전자디자인고등학교 (대전),대전광역시 유성구,대전광역시 유성구,366845.0,320,-0.0525503663003663,0.0008723030162602735
569,대전제일고등학교 (대전),대전광역시 서구,대전광역시 서구,464634.0,502,-0.016460905349794233,0.0010804202877964162
570,대전중앙고등학교 (대전),대전광역시 중구,대전광역시 중구,223256.0,444,-0.04858923435145871,0.0019887483427097146
571,대전지족고등학교 (대전),대전광역시 유성구,대전광역시 유성구,366845.0,929,-0.022739010989010988,0.002532404694080606
572,대전체육고등학교 (대전),대전광역시 유성구,대전광역시 유성구,366845.0,237,-0.015007466401194623,0.000646049421417765
573,대전한빛고등학교 (대전),대전광역시 중구,대전광역시 중구,223256.0,563,-0.008079470198675496,0.00252176873185939
574,대정고등학교 (제주),서귀포시,제주특별자치도 서귀포시,183598.0,307,-0.030574169966494064,0.001672131504700487
575,대정여자고등학교 (제주),서귀포시,제주특별자치도 서귀포시,183598.0,297,-0.034678178963893254,0.0016176646804431421
576,대중금속공업고등학교 (대구),대구광역시 북구,대구광역시 북구,419624.0,334,-0.027092576160899145,0.0007959506605913866
577,대지고등학교 (경기),수지구,경기도 용인시 수지구,377422.0,947,-0.019066455696202533,0.0025091277138057665
578,대진고등학교 (강원),nan,,,17,-0.05901360544217686,
579,대진고등학교 (대구),대구광역시 달서구,대구광역시 달서구,527781.0,665,-0.04296916675557452,0.0012599923074153863
580,대진고등학교 (서울),서울특별시 노원구,서울특별시 노원구,498213.0,782,-0.04445138664946792,0.0015696097853729228
581,대진디자인고등학교 (서울),서울특별시 강남구,서울특별시 강남구,544873.0,504,-0.012346414817531636,0.0009249861894423104
582,대진여자고등학교 (서울),서울특별시 노원구,서울특별시 노원구,498213.0,844,-0.040491397288842546,0.0016940545509651495
583,대진전자통신고등학교 (부산),부산광역시 금정구,부산광역시 금정구,215590.0,568,-0.029679922405431623,0.00263463054872675
584,대창고등학교 (경북),예천군,경상북도 예천군,55325.0,230,-0.04290911790911791,0.004157252598282874
585,대천고등학교 (충남),보령시,충청남도 보령시,95772.0,484,-0.03496354799513973,0.005053669130852441
586,대천여자고등학교 (충남),보령시,충청남도 보령시,95772.0,486,-0.034244972260748956,0.0050745520611452195
587,대천여자상업고등학교 (충남),보령시,충청남도 보령시,95772.0,236,-0.03705091937765205,0.0024641857745478844
588,대청고등학교 (인천),인천광역시 옹진군,인천광역시 옹진군,20377.0,10,-0.03297619047619047,0.0004907493742945478
589,대평고등학교 (경기),장안구,경기도 수원시 장안구,270849.0,784,-0.03630349390117842,0.00289460178918881
590,대현고등학교 (울산),울산광역시 남구,울산광역시 남구,307232.0,619,-0.03472341032221272,0.002014764087074263
591,대화고등학교 (강원),평창군,강원도 평창군,40659.0,87,-0.04146825396825396,0.0021397476573452373
592,대화고등학교 (경기),일산서구,경기도 고양시 일산서구,286872.0,826,0.04874676857367652,0.002879332942915307
593,대흥고등학교 (충남),예산군,충청남도 예산군,78354.0,143,-0.013903061224489796,0.0018250504122316665
594,덕계고등학교 (경기),양주시,경기도 남양주시,732265.0,688,-0.0254625850340136,0.0009395505725386302
595,덕문고등학교 (부산),부산광역시 강서구,부산광역시 강서구,142396.0,121,-0.011053345388788422,0.0008497429703081547
596,덕문여자고등학교 (부산),부산광역시 수영구,부산광역시 수영구,174518.0,577,-0.04844436310395314,0.0033062492121156556
597,덕산고등학교 (경기),부천시,경기도 부천시,779968.0,584,-0.04136749867233138,0.0007487486666119636
598,덕산고등학교 (경남),산청군,경상남도 산청군,33752.0,61,-0.02196843853820598,0.0018073003081298885
599,덕산고등학교 (충남),예산군,충청남도 예산군,78354.0,352,0.015827922077922083,0.004492431783954871
600,덕성여자고등학교 (서울),서울특별시 종로구,서울특별시 종로구,139417.0,612,-0.028138412017167387,0.0043897085721253505
601,덕소고등학교 (경기),남양주시,경기도 남양주시,732265.0,1082,-0.020107192254495154,0.0014776071504168573
602,덕신고등학교 (인천),인천광역시 강화군,인천광역시 강화군,69005.0,234,-0.0236734693877551,0.0033910586189406563
603,덕암고등학교 (전북),김제시,전라북도 김제시,81430.0,421,-0.03575899066163322,0.00517008473535552
604,덕암정보고등학교 (전북),김제시,전라북도 김제시,81430.0,438,-0.04237799967788694,0.005378853002578902
605,덕영고등학교 (경기),처인구,경기도 용인시 처인구,261488.0,595,-0.0399396754217382,0.002275439025882641
606,덕원고등학교 (대구),대구광역시 수성구,대구광역시 수성구,407331.0,1001,-0.03719792865362485,0.002457460885618821
607,덕원여자고등학교 (서울),서울특별시 강서구,서울특별시 강서구,563058.0,915,-0.0360383980181668,0.0016250546124910756
608,덕원예술고등학교 (서울),서울특별시 강서구,서울특별시 강서구,563058.0,592,-0.017871447644478344,0.0010514014542018762
609,덕이고등학교 (경기),일산서구,경기도 고양시 일산서구,286872.0,823,0.05380134886572656,0.0028688753172146464
610,덕일전자공업고등학교 (서울),서울특별시 구로구,서울특별시 구로구,392405.0,175,-0.0383469387755102,0.00044596781386577644
611,덕적고등학교 (인천),인천광역시 옹진군,인천광역시 옹진군,20377.0,37,0.021602787456445997,0.0018157726848898267
