,학교_식별자,소재지지번주소,개방ID,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수,2037_해당지역예측학생수,2038_해당지역예측학생수,2039_해당지역예측학생수,매칭된 행정구역,학생 비,회귀계수
737,명호고등학교 (부산),부산광역시 강서구 명지동 3236-3,5183364689,35.08062883,128.900075,부산광역시 강서구,241,429,576,529,532,556,581,620,667,677,692,690,707,744,764,1972.0,1781.0,1540.0,1330.0,1165.0,1018.0,977.0,910.0,943.0,929.0,1042.0,1325.0,1591.0,1847.0,1918.0,2276.0,2970.0,3891.0,4697.0,4939.0,4787.0,4368.0,4055.0,3889.0,3592.0,부산광역시 강서구,0.8101802757158006,0.03579842931937174
738,모계고등학교 (경북),경상북도 청도군 화양읍 범곡리 117,1405408918,35.6494626,128.7359915,청도군,456,455,459,462,462,470,461,434,384,366,335,337,339,342,348,1196.0,1157.0,1076.0,973.0,855.0,761.0,689.0,670.0,700.0,687.0,660.0,587.0,609.0,602.0,567.0,501.0,483.0,484.0,481.0,452.0,423.0,392.0,339.0,314.0,299.0,경상북도 청도군,0.49714285714285716,-0.024316109422492398
739,모락고등학교 (경기),경기도 의왕시 오전동 산58-10,9672724902,37.369971,126.9670058,의왕시,0,0,0,0,241,480,706,722,706,682,604,555,545,576,580,5316.0,5124.0,4856.0,4648.0,4491.0,4525.0,4546.0,4362.0,4177.0,4033.0,3850.0,3940.0,4095.0,4461.0,4558.0,4559.0,4332.0,4002.0,3516.0,3028.0,2733.0,2734.0,2873.0,2881.0,2771.0,경기도 의왕시,0.13885563801771605,0.06902453502176494
740,목감고등학교 (경기),경기도 시흥시 조남동 387,9853878080,37.37222339,126.8571834,시흥시,0,0,0,0,0,0,0,0,0,0,0,154,299,482,587,13894.0,15905.0,16655.0,16517.0,15601.0,15076.0,14592.0,14335.0,14354.0,14425.0,14012.0,13567.0,13240.0,12918.0,11947.0,10906.0,10142.0,9678.0,9227.0,9066.0,9306.0,9705.0,9861.0,9748.0,9400.0,경기도 시흥시,0.04089452417444615,0.05543927963008032
741,목동고등학교 (서울),서울특별시 양천구 신정동 325-8,2189616560,37.50921598,126.860143,서울특별시 양천구,1838,1869,1875,1909,1870,1847,1813,1671,1443,1207,1101,1067,1108,1064,1096,17207.0,16528.0,15710.0,14595.0,13508.0,12812.0,12349.0,12200.0,12530.0,12716.0,12269.0,11461.0,11078.0,11274.0,11143.0,10943.0,10600.0,10387.0,9736.0,8597.0,7485.0,6484.0,5924.0,5384.0,4958.0,서울특별시 양천구,0.08747007182761372,-0.039631819202274945
742,목상고등학교 (전남),전라남도 목포시 용당동 937-1,1516637980,34.80571314,126.3949956,목포시,750,750,739,689,685,679,659,653,605,564,524,510,493,480,493,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.07071141709695926,-0.0292
743,목천고등학교 (충남),충청남도 천안시 동남구 목천읍 서리 54-1,9078139245,36.78283528,127.2318896,동남구,754,704,641,635,654,603,553,536,408,333,283,279,288,277,279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7671.0,7846.0,8283.0,8215.0,7877.0,7424.0,6969.0,6214.0,5386.0,4787.0,4479.0,4135.0,3760.0,3463.0,충청남도 천안시 동남구,inf,-0.05150625236832133
744,목포고등학교 (전남),전라남도 목포시 용당동 970-6,6936631917,34.80861333,126.3918035,목포시,1003,976,943,891,902,844,831,814,771,686,668,675,703,665,661,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.09480780263912794,-0.02635664435265632
745,목포공업고등학교 (전남),전라남도 목포시 용당동 171-11,7036655783,34.79607323,126.4038678,목포시,1006,979,980,1009,975,941,905,893,862,778,755,706,643,563,560,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.08032128514056225,-0.033781679173155874
746,목포덕인고등학교 (전남),전라남도 목포시 죽교동 30,3050873339,34.79998068,126.372628,목포시,729,729,761,758,744,732,736,719,678,606,538,493,487,473,482,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.06913367756741251,-0.03108222263938427
747,목포마리아회고등학교 (전남),전라남도 목포시 용당동 845-1,9222270965,34.81310262,126.3945838,목포시,741,732,765,772,765,749,740,720,674,596,535,497,483,466,471,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.06755593803786575,-0.032651739452257585
748,목포성신고등학교 (전남),전라남도 목포시 상동 328-3,8961411118,34.81645959,126.4097016,목포시,681,634,549,483,431,380,327,272,221,169,139,122,146,146,178,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.025530694205393,-0.05932452276064612
749,목포여자고등학교 (전남),전라남도 목포시 대성동 40-1,9822874963,34.79788027,126.3852423,목포시,772,761,744,707,677,672,647,641,608,568,534,510,501,474,484,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.06942053930005737,-0.02968634344929682
750,목포여자상업고등학교 (전남),전라남도 목포시 상동 525-9,6215226054,34.80841659,126.411971,목포시,1057,1070,1045,1052,1030,986,936,901,863,758,658,587,536,480,481,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.06899024670109008,-0.045467289719626165
751,목포정명여자고등학교 (전남),전라남도 목포시 양동 86-1,2084286212,34.79640482,126.3831138,목포시,842,844,857,860,875,869,848,821,753,675,609,573,547,530,541,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.07759609868043603,-0.032530612244897956
752,목포제일여자고등학교 (전남),전라남도 목포시 옥암동 983,1535057246,34.80762176,126.430872,목포시,770,755,729,711,699,687,664,642,625,593,554,519,503,484,492,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.07056798623063683,-0.028441558441558448
753,목포중앙고등학교 (전남),전라남도 목포시 대양동 208-4,2731104135,34.8347188,126.4258535,목포시,430,494,481,476,490,475,461,456,454,418,339,290,286,312,337,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.04833620195065978,-0.029178716020821286
754,목포혜인여자고등학교 (전남),전라남도 목포시 죽교동 514,1773435890,34.79998068,126.372628,목포시,734,746,760,745,726,713,713,706,660,593,529,487,471,453,462,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.06626506024096386,-0.03300281954887218
755,목포홍일고등학교 (전남),전라남도 목포시 죽교동 580-6,5845354795,34.80223621,126.3755128,목포시,840,837,852,845,834,804,815,810,718,651,592,566,528,482,471,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.06755593803786575,-0.03595741113346748
756,무거고등학교 (울산),울산광역시 남구 무거동 1000,5214583456,35.53627893,129.2507423,울산광역시 남구,1294,1210,1188,1123,1099,1061,1021,1018,903,751,562,519,511,492,468,14805.0,14527.0,13779.0,12730.0,11409.0,10576.0,10019.0,9512.0,9454.0,9362.0,9323.0,9206.0,9362.0,9671.0,9629.0,9638.0,9472.0,9205.0,8425.0,7326.0,6346.0,5638.0,5220.0,4871.0,4539.0,울산광역시 남구,0.04950285593399619,-0.0503422389048355
757,무룡고등학교 (울산),울산광역시 북구 연암동 1149,1988140285,35.58665093,129.3616127,울산광역시 북구,1552,1489,1388,1350,1285,1100,947,776,705,601,505,488,493,484,546,6120.0,7214.0,6464.0,5666.0,4995.0,4840.0,5045.0,5392.0,5836.0,6315.0,6496.0,6639.0,6792.0,6997.0,6857.0,6578.0,6506.0,6483.0,6241.0,5809.0,5657.0,5622.0,5380.0,4825.0,4263.0,울산광역시 북구,0.09355723098012338,-0.05655145434462445
758,무산고등학교 (경북),경상북도 경주시 건천읍 천포리 638-4,5382785320,35.84478145,129.0961167,경주시,158,149,157,148,159,140,140,110,74,58,53,55,52,61,62,12273.0,11904.0,11095.0,9901.0,8620.0,7843.0,7344.0,6913.0,6857.0,6832.0,6610.0,6280.0,6060.0,6052.0,5755.0,5533.0,5256.0,5109.0,4734.0,4242.0,3727.0,3466.0,3277.0,3146.0,3024.0,경상북도 경주시,0.009041855038646638,-0.05941150044923629
759,무안고등학교 (전남),전라남도 무안군 무안읍 성남리 1000,7761861264,34.98164887,126.467027,무안군,151,149,152,157,188,217,546,587,607,565,521,496,494,497,535,2154.0,2146.0,2049.0,1866.0,1625.0,1433.0,1376.0,1342.0,1423.0,1521.0,1696.0,1904.0,2044.0,2086.0,1943.0,1901.0,1870.0,1883.0,1755.0,1562.0,1364.0,1284.0,1294.0,1378.0,1428.0,전라남도 무안군,0.3759662684469431,0.056472111084961175
760,무원고등학교 (경기),경기도 고양시 덕양구 행신동 977,8131809234,37.61907994,126.838162,덕양구,1525,1477,1424,1375,1314,1247,1164,1122,1054,962,865,793,752,767,765,19352.0,19108.0,17854.0,16221.0,14709.0,13987.0,13224.0,12371.0,12051.0,11912.0,11665.0,11361.0,11273.0,11260.0,10640.0,10430.0,10476.0,10789.0,10443.0,9422.0,8575.0,8234.0,8387.0,8712.0,8679.0,경기도 고양시 덕양구,0.06348020911127707,-0.04050351288056206
761,무주고등학교 (전북),전북특별자치도 무주군 무주읍 읍내리 462,6425200641,36.01371751,127.6633474,무주군,234,242,269,311,336,331,326,332,318,307,289,280,258,260,276,782.0,760.0,719.0,633.0,572.0,547.0,551.0,560.0,606.0,629.0,640.0,591.0,583.0,557.0,527.0,497.0,463.0,436.0,372.0,307.0,256.0,241.0,224.0,210.0,169.0,전라북도 무주군,0.45544554455445546,0.00027636054421768894
762,무풍고등학교 (전북),전북특별자치도 무주군 무풍면 현내리 503,2646774411,35.96676372,127.846469,무주군,44,41,56,44,36,20,21,22,23,12,14,10,14,12,18,782.0,760.0,719.0,633.0,572.0,547.0,551.0,560.0,606.0,629.0,640.0,591.0,583.0,557.0,527.0,497.0,463.0,436.0,372.0,307.0,256.0,241.0,224.0,210.0,169.0,전라북도 무주군,0.0297029702970297,-0.049872448979591845
763,무학여자고등학교 (서울),서울특별시 성동구 행당동 322-1,2245246112,37.55762633,127.0338809,서울특별시 성동구,1508,1460,1407,1440,1417,1340,1241,1187,1058,892,698,636,561,532,521,13872.0,13892.0,13702.0,13108.0,12087.0,11466.0,10917.0,10512.0,10589.0,10593.0,9957.0,9081.0,8485.0,8497.0,8449.0,8327.0,8245.0,7938.0,7746.0,7339.0,6999.0,6482.0,5969.0,5468.0,5006.0,서울특별시 성동구,0.049202002077627725,-0.05484795377036756
764,묵호고등학교 (강원),강원특별자치도 동해시 부곡동 37번지,9764531552,37.537762,129.0957467,동해시,599,597,585,623,645,672,732,705,691,631,591,570,556,535,541,4208.0,4102.0,3981.0,3737.0,3438.0,3195.0,2967.0,2747.0,2637.0,2549.0,2503.0,2380.0,2383.0,2328.0,2288.0,2199.0,2097.0,2032.0,1890.0,1695.0,1455.0,1298.0,1248.0,1200.0,1152.0,강원도 동해시,0.20515737580583998,-0.00692818110850898
765,문경공업고등학교 (경북),경상북도 문경시 점촌동 5-2,1632905304,36.59534446,128.2073918,문경시,505,485,472,454,436,415,430,417,373,320,265,207,201,183,212,2369.0,2345.0,2257.0,2029.0,1775.0,1541.0,1415.0,1304.0,1335.0,1347.0,1456.0,1511.0,1660.0,1761.0,1764.0,1682.0,1604.0,1499.0,1358.0,1133.0,1004.0,941.0,940.0,893.0,780.0,경상북도 문경시,0.15880149812734082,-0.04926449787835927
766,문경여자고등학교 (경북),경상북도 문경시 모전동 21-2,7348001241,36.59406498,128.1944829,문경시,629,615,603,606,636,623,599,567,531,490,437,381,364,338,335,2369.0,2345.0,2257.0,2029.0,1775.0,1541.0,1415.0,1304.0,1335.0,1347.0,1456.0,1511.0,1660.0,1761.0,1764.0,1682.0,1604.0,1499.0,1358.0,1133.0,1004.0,941.0,940.0,893.0,780.0,경상북도 문경시,0.250936329588015,-0.037881850853548955
767,문막고등학교 (강원),강원특별자치도 원주시 문막읍 문막리 237,7534376144,37.305216,127.8147585,원주시,0,67,139,217,249,265,277,258,214,206,205,219,215,211,224,11084.0,11139.0,10789.0,10182.0,9481.0,8903.0,8545.0,8362.0,8659.0,8821.0,8864.0,8685.0,8748.0,8861.0,8468.0,8034.0,7660.0,7582.0,7364.0,6800.0,6478.0,6263.0,6257.0,6182.0,6040.0,강원도 원주시,0.025869037995149554,0.032323362558019604
768,문명고등학교 (경북),경상북도 경산시 백천동 산16,1035854697,35.80503215,128.7451394,경산시,624,666,672,667,661,643,608,594,570,520,479,449,442,447,457,10888.0,10901.0,10371.0,9445.0,8310.0,7577.0,7127.0,7049.0,7486.0,7771.0,7846.0,7435.0,7475.0,7646.0,7674.0,7601.0,7418.0,7476.0,7077.0,6459.0,5589.0,4838.0,4388.0,4049.0,3888.0,경상북도 경산시,0.06104728827144002,-0.028353528911564632
769,문산고등학교 (경기),경기도 파주시 문산읍 당동리 149,2266999900,37.86299886,126.7757779,파주시,504,538,519,521,496,487,455,449,416,411,366,359,350,327,352,7115.0,7193.0,7266.0,7669.0,7848.0,7757.0,7582.0,7886.0,8943.0,9750.0,9896.0,10186.0,10853.0,12112.0,12293.0,12358.0,12054.0,11965.0,11363.0,10512.0,9713.0,8995.0,8310.0,7963.0,7700.0,경기도 파주시,0.03936039360393604,-0.029235262878385557
770,문산수억고등학교 (경기),경기도 파주시 파주읍 봉서리 1,9694130539,37.85202703,126.802583,파주시,1105,1039,939,847,833,737,754,744,798,748,737,698,673,669,689,7115.0,7193.0,7266.0,7669.0,7848.0,7757.0,7582.0,7886.0,8943.0,9750.0,9896.0,10186.0,10853.0,12112.0,12293.0,12358.0,12054.0,11965.0,11363.0,10512.0,9713.0,8995.0,8310.0,7963.0,7700.0,경기도 파주시,0.07704349770770436,-0.023529411764705885
771,문산제일고등학교 (경기),경기도 파주시 야동동 361,1602130711,37.77260399,126.7628873,파주시,1053,1139,1187,1183,1176,1151,1141,1087,1007,897,830,801,770,731,774,7115.0,7193.0,7266.0,7669.0,7848.0,7757.0,7582.0,7886.0,8943.0,9750.0,9896.0,10186.0,10853.0,12112.0,12293.0,12358.0,12054.0,11965.0,11363.0,10512.0,9713.0,8995.0,8310.0,7963.0,7700.0,경기도 파주시,0.08654813820865481,-0.029167168130942354
772,문성고등학교 (광주),광주광역시 남구 봉선동 599-1,7659959316,35.12045939,126.9049884,광주광역시 남구,1079,1085,1079,1091,1058,1035,1011,986,958,829,744,645,622,611,634,9051.0,8347.0,7372.0,6407.0,5473.0,4887.0,4521.0,4373.0,4439.0,4667.0,4688.0,4872.0,4944.0,5159.0,4893.0,4707.0,4551.0,4509.0,4314.0,3879.0,3583.0,3236.0,3110.0,2989.0,2869.0,광주광역시 남구,0.14282496057670646,-0.03743289249705381
773,문수고등학교 (울산),울산광역시 남구 무거동 266-1,8104510247,35.555692,129.265401,울산광역시 남구,1241,1210,1210,1173,1148,1121,1084,1080,892,739,612,557,513,493,470,14805.0,14527.0,13779.0,12730.0,11409.0,10576.0,10019.0,9512.0,9454.0,9362.0,9323.0,9206.0,9362.0,9671.0,9629.0,9638.0,9472.0,9205.0,8425.0,7326.0,6346.0,5638.0,5220.0,4871.0,4539.0,울산광역시 남구,0.04971440660038079,-0.05241164959134339
774,문일고등학교 (서울),서울특별시 금천구 시흥동 559-1,7233495056,37.44891526,126.8987207,서울특별시 금천구,1701,1608,1578,1581,1540,1504,1399,1294,1120,1049,942,861,813,824,854,11760.0,11044.0,9988.0,8921.0,7957.0,7605.0,7342.0,7161.0,6908.0,6780.0,6397.0,6082.0,5907.0,6006.0,5743.0,5636.0,5444.0,5300.0,4978.0,4407.0,3966.0,3560.0,3258.0,3108.0,2979.0,서울특별시 금천구,0.12362478286045166,-0.042666078777189885
775,문일여자고등학교 (인천),인천광역시 남동구 만수동 977-25,2816758334,37.45247978,126.7306571,인천광역시 남동구,1634,1593,1498,1469,1388,1321,1241,1262,1177,1117,1043,996,1035,1000,1045,18454.0,17923.0,17214.0,15863.0,14082.0,12478.0,11318.0,10574.0,11011.0,12272.0,13363.0,13784.0,14222.0,14996.0,15042.0,14764.0,14314.0,14136.0,13254.0,12153.0,10965.0,9946.0,8610.0,7434.0,6433.0,인천광역시 남동구,0.09490509490509491,-0.02927740863787375
776,문정고등학교 (서울),서울특별시 송파구 문정동 90,3164938569,37.4851785,127.1266921,서울특별시 송파구,847,1265,1190,1113,1063,1015,975,987,943,880,771,736,740,701,719,26843.0,26349.0,24846.0,22942.0,20417.0,18763.0,17405.0,16430.0,16624.0,17342.0,18313.0,19108.0,19687.0,20183.0,19396.0,18823.0,17863.0,17400.0,16375.0,15043.0,13967.0,12782.0,11684.0,10544.0,9721.0,서울특별시 송파구,0.043250721847930704,-0.026019198193111232
777,문정여자고등학교 (광주),광주광역시 북구 오치동 5-12,8926702260,35.18919758,126.9194511,광주광역시 북구,400,856,1253,1286,1264,1201,1120,1109,1052,961,873,818,792,757,775,22574.0,22278.0,21016.0,19085.0,16593.0,15078.0,13876.0,13092.0,13407.0,13841.0,13920.0,13307.0,12755.0,12333.0,11505.0,11158.0,11037.0,10985.0,10313.0,9268.0,8369.0,7554.0,7266.0,6956.0,6592.0,광주광역시 북구,0.05780562392779891,-0.010739280159964453
778,문창고등학교 (경북),경상북도 문경시 흥덕동 716,8607964098,36.60352544,128.2003063,문경시,634,624,625,621,622,605,585,570,550,495,435,382,367,335,354,2369.0,2345.0,2257.0,2029.0,1775.0,1541.0,1415.0,1304.0,1335.0,1347.0,1456.0,1511.0,1660.0,1761.0,1764.0,1682.0,1604.0,1499.0,1358.0,1133.0,1004.0,941.0,940.0,893.0,780.0,경상북도 문경시,0.2651685393258427,-0.03805768364127986
779,문태고등학교 (전남),전라남도 목포시 용당동 183,1744847834,34.80057558,126.4030507,목포시,770,763,776,794,775,751,719,697,671,604,552,503,495,483,491,11236.0,10671.0,9976.0,9041.0,8131.0,7559.0,7096.0,6839.0,6972.0,7416.0,7681.0,7762.0,7760.0,7800.0,7367.0,6670.0,6034.0,5689.0,5184.0,4572.0,3957.0,3489.0,2963.0,2575.0,2427.0,전라남도 목포시,0.0704245553643144,-0.03244422454120187
780,문학정보고등학교 (인천),인천광역시 미추홀구 문학동 394-4,5333429455,37.43549148,126.6866821,nan,968,912,858,817,834,838,880,893,847,750,575,484,400,283,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,inf,-0.049339580873671775
781,문향고등학교 (전남),전라남도 장성군 장성읍 기산리 386-2,7740678787,35.303417,126.7680095,장성군,384,408,429,405,374,363,363,358,345,315,285,264,250,239,239,2055.0,1979.0,1845.0,1654.0,1538.0,1406.0,1351.0,1233.0,1238.0,1247.0,1250.0,1212.0,1211.0,1249.0,1203.0,1166.0,1178.0,1203.0,1154.0,1058.0,940.0,871.0,680.0,539.0,451.0,전라남도 장성군,0.19305331179321486,-0.032209457209457205
782,문현고등학교 (서울),서울특별시 송파구 장지동 838,9271981954,37.48131355,127.1287623,서울특별시 송파구,0,301,625,935,942,899,849,868,834,783,715,660,647,620,630,26843.0,26349.0,24846.0,22942.0,20417.0,18763.0,17405.0,16430.0,16624.0,17342.0,18313.0,19108.0,19687.0,20183.0,19396.0,18823.0,17863.0,17400.0,16375.0,15043.0,13967.0,12782.0,11684.0,10544.0,9721.0,서울특별시 송파구,0.03789701636188643,0.01670457992114043
783,문현고등학교 (울산),울산광역시 동구 방어동 1008,4344982326,35.48239565,129.4091804,울산광역시 동구,917,867,837,778,745,694,704,686,656,572,538,508,501,511,560,8923.0,8145.0,7427.0,6696.0,5963.0,5717.0,5584.0,5624.0,6020.0,6169.0,6144.0,5844.0,5938.0,6306.0,6548.0,6819.0,6682.0,6474.0,5887.0,5042.0,4120.0,3222.0,2659.0,2178.0,1992.0,울산광역시 동구,0.09302325581395349,-0.032357064963389935
784,문현여자고등학교 (부산),부산광역시 남구 문현동 40-1,9576919078,35.14513702,129.0739485,부산광역시 남구,1095,1082,1025,1013,960,908,823,812,766,685,610,574,562,546,545,9820.0,9485.0,9081.0,8522.0,7987.0,7620.0,7332.0,6858.0,6756.0,6840.0,6940.0,6978.0,7000.0,7000.0,6615.0,6287.0,5988.0,5655.0,5097.0,4452.0,3937.0,3496.0,3164.0,2793.0,2579.0,부산광역시 남구,0.08066903493191237,-0.04138943248532289
785,문화고등학교 (경북),경상북도 경주시 충효동 717,2886936187,35.85337311,129.1690639,경주시,810,815,806,797,800,782,753,728,703,667,626,594,581,587,583,12273.0,11904.0,11095.0,9901.0,8620.0,7843.0,7344.0,6913.0,6857.0,6832.0,6610.0,6280.0,6060.0,6052.0,5755.0,5533.0,5256.0,5109.0,4734.0,4242.0,3727.0,3466.0,3277.0,3146.0,3024.0,경상북도 경주시,0.08502260463759662,-0.024960560911481158
786,물금고등학교 (경남),경상남도 양산시 물금읍 범어리 2673-11,9425777673,35.335613,129.0163375,양산시,1100,1143,1127,1114,1071,1071,1090,1095,1115,1060,1013,988,988,1009,1004,9297.0,9219.0,8992.0,8499.0,7925.0,7491.0,7194.0,7105.0,7352.0,7733.0,7727.0,7763.0,8105.0,8601.0,8566.0,8567.0,8711.0,8941.0,8985.0,8939.0,8716.0,8081.0,7144.0,6208.0,5520.0,경상남도 양산시,0.1365614798694233,-0.008892638420197474
787,미래고등학교 (강원),강원특별자치도 원주시 행구동 125-2 번지,5299157261,37.33896696,128.0083876,원주시,1211,1210,1208,1219,1229,1266,1262,1226,1139,1001,882,759,689,597,601,11084.0,11139.0,10789.0,10182.0,9481.0,8903.0,8545.0,8362.0,8659.0,8821.0,8864.0,8685.0,8748.0,8861.0,8468.0,8034.0,7660.0,7582.0,7364.0,6800.0,6478.0,6263.0,6257.0,6182.0,6040.0,강원도 원주시,0.06940755283520036,-0.03971169036334913
788,미래산업과학고등학교 (서울),서울특별시 노원구 중계동 369-3,7313027918,37.65877948,127.0784407,서울특별시 노원구,770,761,739,680,641,590,589,600,597,608,591,570,554,528,503,23036.0,24353.0,25044.0,24187.0,22193.0,20714.0,19414.0,18265.0,17832.0,17820.0,17131.0,16197.0,15539.0,15657.0,15027.0,14679.0,13845.0,13353.0,12132.0,10521.0,8949.0,7707.0,7081.0,6723.0,6562.0,서울특별시 노원구,0.028207716464782415,-0.021975881261595543
789,미림여자고등학교 (서울),서울특별시 관악구 신림동 1557-1,8862638235,37.4661018,126.9319279,서울특별시 관악구,1072,1045,1018,920,713,721,673,564,535,566,519,513,494,496,508,23336.0,22304.0,20827.0,19365.0,17706.0,17020.0,16622.0,16172.0,16209.0,16267.0,15845.0,14880.0,14303.0,14063.0,13465.0,12807.0,12171.0,11592.0,10452.0,9074.0,7758.0,6732.0,5857.0,5227.0,4811.0,서울특별시 관악구,0.03134061323955827,-0.04171108742004265
790,미사강변고등학교 (경기),경기도 하남시 선동 418,6842037379,37.5777571,127.1837309,하남시,0,0,0,0,0,0,0,112,259,374,404,468,546,623,724,5084.0,4784.0,4436.0,4145.0,3729.0,3604.0,3424.0,3412.0,3544.0,3782.0,4008.0,4068.0,4102.0,4025.0,3728.0,3535.0,3466.0,3954.0,4662.0,5342.0,5723.0,5831.0,6152.0,6424.0,6487.0,경기도 하남시,0.20428893905191872,0.07708662194159432
791,미사고등학교 (경기),경기도 하남시 망월동 933,7250823736,37.57050336,127.193301,하남시,0,0,0,0,0,0,214,427,641,616,632,707,761,828,870,5084.0,4784.0,4436.0,4145.0,3729.0,3604.0,3424.0,3412.0,3544.0,3782.0,4008.0,4068.0,4102.0,4025.0,3728.0,3535.0,3466.0,3954.0,4662.0,5342.0,5723.0,5831.0,6152.0,6424.0,6487.0,경기도 하남시,0.24548532731376976,0.08721674876847291
792,미추홀외국어고등학교 (인천),인천광역시 남동구 논현동 767-2,2665729582,37.38961737,126.7244414,인천광역시 남동구,0,199,387,573,574,573,571,573,580,578,569,565,567,561,538,18454.0,17923.0,17214.0,15863.0,14082.0,12478.0,11318.0,10574.0,11011.0,12272.0,13363.0,13784.0,14222.0,14996.0,15042.0,14764.0,14314.0,14136.0,13254.0,12153.0,10965.0,9946.0,8610.0,7434.0,6433.0,인천광역시 남동구,0.0488602306784125,0.04193349753694582
793,민족사관고등학교 (강원),강원특별자치도 횡성군 안흥면 소사리 1300-1,2076670885,37.4581917901,128.1457657276,횡성군,461,473,468,472,464,455,455,461,453,453,458,463,468,453,453,1561.0,1413.0,1284.0,1170.0,1082.0,1030.0,941.0,898.0,894.0,888.0,861.0,818.0,783.0,788.0,712.0,672.0,641.0,645.0,612.0,531.0,502.0,487.0,488.0,434.0,407.0,강원도 횡성군,0.5067114093959731,-0.0017819389912413206
