index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
179,🇹🇷,Ali Efe Günes 121,0,1,0,0,0,135.92n=1,72.26n=1,66.82n=1,69.10n=1,4.54n=10,2.51n=6,1.92n=2,2.50n=1,4.88n=2,4.75n=2,4.88n=2
180,🇪🇸,Euken Alberdi,0,1,0,0,0,135.04n=1,71.43n=1,60.04n=1,79.00n=1,3.61n=10,2.75n=6,2.05n=2,3.30n=1,5.18n=2,5.22n=2,5.35n=2
181,🇺🇦,Mark Kulish 185,1,0,0,0,0,134.20n=1,77.52n=1,65.55n=1,69.65n=1,4.70n=10,2.21n=6,2.34n=1,3.00n=1,4.68n=2,4.50n=2,4.77n=2
182,🇸🇰,Dmitry Rudenko 229,2,0,0,0,0,133.84n=2,70.72n=2,61.44n=2,74.41n=2,4.09n=20,2.45n=12,2.95n=2,2.89n=2,4.99n=4,4.90n=4,5.15n=4
183,🇿🇦,Cody Kock,2,0,0,0,0,133.60n=2,62.20n=2,58.54n=2,76.56n=2,3.44n=20,3.00n=12,2.36n=2,3.86n=2,5.09n=4,5.17n=4,5.12n=4
184,🇦🇺,Vinceman Chong,1,0,0,0,0,133.44n=1,78.61n=1,64.13n=1,73.31n=1,4.26n=10,2.57n=6,2.56n=1,3.57n=1,5.04n=2,4.86n=2,5.18n=2
185,🇪🇪,Jegor Martsenko 242,2,0,0,0,0,131.30n=2,68.80n=2,60.28n=2,73.02n=2,4.07n=20,2.49n=12,2.84n=2,1.75n=2,4.88n=4,4.80n=4,5.30n=4
186,🇭🇰,Chit Wang Chow 197,1,0,0,0,0,131.10n=1,72.07n=1,64.19n=1,69.91n=1,4.26n=10,2.61n=6,2.67n=1,3.29n=1,4.66n=2,4.59n=2,4.78n=2
187,🇦🇹,Tobia Oellerer 222,1,0,0,0,0,130.92n=1,58.35n=1,53.47n=1,77.45n=1,2.79n=10,3.14n=6,3.63n=1,3.14n=1,5.16n=2,5.16n=2,5.26n=2
188,🇧🇬,Filip Kaimakchiev 114,0,2,0,0,0,129.82n=2,72.04n=2,60.69n=2,71.14n=2,4.47n=20,1.78n=12,1.66n=4,1.95n=2,4.94n=4,4.88n=4,4.78n=4
189,🇧🇬,Yoanis Apostolu 242,1,0,0,0,0,128.95n=1,77.18n=1,69.45n=1,61.50n=1,5.20n=10,2.02n=6,2.56n=1,2.79n=1,4.23n=2,4.14n=2,4.36n=2
190,🇸🇪,Elias Sayed 164,1,0,0,0,0,128.57n=1,70.75n=1,58.76n=1,73.81n=1,3.62n=10,2.76n=6,2.97n=1,3.07n=1,5.08n=2,5.00n=2,5.12n=2
191,🇨🇭,Gion Schmid,1,0,0,0,0,127.28n=1,60.53n=1,53.74n=1,74.54n=1,3.73n=10,1.73n=6,2.75n=1,3.29n=1,4.98n=2,4.78n=2,5.04n=2
192,🇫🇮,Jaroslav Krestyannikov 237,1,0,0,0,0,126.04n=1,62.88n=1,52.95n=1,77.09n=1,3.34n=10,2.28n=6,2.53n=1,3.29n=1,5.20n=2,5.20n=2,5.22n=2
193,🇮🇹,Nikolay Di Tria,1,0,0,0,0,124.08n=1,59.62n=1,53.30n=1,70.78n=1,3.78n=9,2.25n=6,2.71n=1,3.07n=1,4.71n=2,4.77n=2,4.70n=2
