index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
127,🇱🇻,Sofja Stepchenko 30,0,2,1,0,0,139.55n=3,68.58n=3,65.30n=3,74.25n=3,3.92n=30,2.74n=18,3.29n=6,3.10n=3,6.18n=6,6.12n=6,6.28n=6
128,🇮🇹,Elena Agostinelli 126,1,1,0,0,0,139.44n=2,76.72n=2,72.60n=2,67.84n=2,4.68n=20,2.96n=12,3.29n=3,3.16n=2,5.63n=4,5.57n=4,5.72n=4
129,🇵🇱,Noelle Streuli 155,2,0,0,0,0,138.98n=2,77.78n=2,72.38n=2,68.11n=2,4.55n=20,3.30n=12,3.37n=2,3.68n=2,5.66n=4,5.66n=4,5.75n=4
130,🇫🇮,Selma Välitalo 236,0,3,0,0,0,138.85n=3,68.92n=3,69.38n=3,69.80n=3,4.03n=30,3.30n=18,2.98n=6,3.33n=3,5.80n=6,5.75n=6,5.97n=6
131,🇨🇦,Hetty Shi 202,2,0,0,0,0,138.64n=2,76.03n=2,70.33n=2,70.31n=2,4.23n=20,3.50n=12,3.37n=2,3.71n=2,6.02n=4,5.65n=4,6.05n=4
132,🇹🇭,Phattaratida Kaneshige 160,2,0,0,0,0,138.22n=2,79.18n=2,73.90n=2,65.32n=2,5.29n=20,2.47n=12,2.90n=2,3.28n=2,5.46n=4,5.35n=4,5.48n=4
133,🇪🇪,Elizabeth Nõu 276,1,0,0,0,0,137.94n=1,74.93n=1,71.67n=1,67.27n=1,4.74n=10,2.99n=6,2.82n=1,3.50n=1,5.66n=2,5.46n=2,5.62n=2
134,🇫🇮,Darja Trubitson 184,1,0,0,0,0,137.83n=1,76.42n=1,74.87n=1,62.96n=1,5.13n=10,2.89n=6,2.60n=1,3.64n=1,5.22n=2,5.16n=2,5.22n=2
135,🇨🇿,Katerina Hanusova 207,1,0,0,0,0,137.56n=1,75.81n=1,77.37n=1,60.19n=1,5.05n=10,3.33n=6,3.30n=1,3.57n=1,4.80n=2,4.84n=2,5.10n=2
136,🇺🇦,Anastasia Gozhva 62,0,2,0,0,0,137.34n=2,72.40n=2,68.38n=2,70.46n=2,4.10n=20,3.06n=12,3.01n=4,3.00n=2,5.99n=4,5.74n=4,6.10n=4
137,🇦🇿,Nargiz Süleymanova 236,0,2,0,0,0,136.28n=2,77.90n=2,69.64n=2,68.14n=2,4.01n=20,3.34n=12,2.99n=4,3.55n=2,5.64n=4,5.69n=4,5.55n=4
138,🇩🇪,Sophie Erhardt,2,0,0,0,0,136.08n=2,73.04n=2,71.45n=2,65.13n=2,4.59n=20,3.10n=12,3.29n=2,3.68n=2,5.36n=4,5.36n=4,5.49n=4
139,🇮🇹,Noemi Joos 227,1,0,0,0,0,136.06n=1,71.29n=1,67.84n=1,68.22n=1,4.37n=10,2.80n=6,3.87n=1,3.43n=1,5.64n=2,5.66n=2,5.72n=2
140,🇫🇮,Karina Innos 336,2,0,0,0,0,135.98n=2,75.10n=2,74.88n=2,61.60n=2,5.05n=20,3.04n=12,3.44n=2,2.72n=2,5.12n=4,5.00n=4,5.32n=4
141,🇱🇻,Anastasija Konga 118,0,3,0,0,0,135.22n=3,74.36n=3,68.65n=3,66.57n=3,4.12n=30,3.00n=18,3.15n=6,3.17n=3,5.58n=6,5.50n=6,5.67n=6
142,🇨🇾,Stefania Yakovleva 203,1,0,0,0,0,135.21n=1,77.09n=1,72.51n=1,64.70n=1,4.82n=10,2.98n=6,2.93n=1,3.50n=1,5.39n=2,5.45n=2,5.54n=2
143,🇸🇰,Vanesa Selmeková 82,1,2,0,0,0,134.88n=3,73.45n=3,68.39n=3,68.16n=3,4.18n=30,2.94n=18,3.26n=5,3.54n=3,5.60n=6,5.69n=6,5.78n=6
144,🇪🇪,Eva Lotta Kiibus 63,0,3,0,0,0,134.63n=3,63.51n=3,62.93n=3,72.71n=3,3.42n=30,3.09n=18,3.32n=6,3.50n=3,6.19n=6,5.99n=6,6.18n=6
145,🇭🇰,Tsz Ching Chan 176,1,0,0,0,0,134.53n=1,78.48n=1,77.19n=1,57.34n=1,5.34n=10,3.17n=6,2.30n=1,2.43n=1,4.60n=2,4.48n=2,5.07n=2
146,🇸🇪,Josefin Taljegård 36,0,1,0,0,0,133.81n=1,56.30n=1,53.48n=1,82.33n=1,2.24n=10,3.06n=6,4.14n=2,4.40n=1,7.02n=2,7.20n=2,6.40n=2
147,🇫🇷,Milana Mozeiko,1,0,0,0,0,132.70n=1,68.92n=1,66.93n=1,66.77n=1,4.14n=10,3.15n=6,2.93n=1,3.64n=1,5.56n=2,5.57n=2,5.46n=2
